gradeId,classId,teacherId,day,period,subjectId
1,1,staff_ks_063,MONDAY,PERIOD1,3
1,1,staff_ks_063,MONDAY,PERIOD2,3
1,1,staff_ks_063,MONDAY,PERIOD3,3
1,1,staff_ks_063,MONDAY,PERIOD4,3
1,1,staff_ks_063,TUESDAY,PERIOD1,3
1,1,staff_ks_063,TUESDAY,PERIOD2,3
1,1,staff_ks_063,TUESDAY,PERIOD4,3
1,1,staff_ks_063,WEDNESDAY,PERIOD2,3
1,1,staff_ks_063,WEDNESDAY,PERIOD3,3
1,1,staff_ks_063,WEDNESDAY,PERIOD4,3
1,1,staff_ks_063,THURSDAY,PERIOD1,3
1,1,staff_ks_063,THURSDAY,PERIOD2,3
1,1,staff_ks_063,THURSDAY,PERIOD3,3
1,1,staff_ks_063,FRIDAY,PERIOD1,3
1,1,staff_ks_063,FRIDAY,PERIOD2,3
1,1,staff_ks_063,FRIDAY,PERIOD3,3
1,1,staff_ks_063,FRIDAY,PERIOD4,3
1,1,staff_ks_063,SATURDAY,PERIOD2,3
1,1,staff_ks_063,SATURDAY,PERIOD3,3
1,1,staff_ks_063,SATURDAY,PERIOD4,3
2,2,staff_ks_001,MONDAY,PERIOD1,5
2,2,staff_ks_001,MONDAY,PERIOD2,8
2,2,staff_ks_001,MONDAY,PERIOD3,9
2,2,staff_ks_001,MONDAY,PERIOD4,10
2,2,staff_ks_001,MONDAY,PERIOD6,14
2,2,staff_ks_001,MONDAY,PERIOD7,20
2,2,staff_ks_001,MONDAY,PERIOD8,21
2,2,staff_ks_001,TUESDAY,PERIOD1,24
2,2,staff_ks_001,TUESDAY,PERIOD2,26
2,2,staff_ks_001,TUESDAY,PERIOD3,5
2,2,staff_ks_001,TUESDAY,PERIOD4,8
2,2,staff_ks_001,TUESDAY,PERIOD5,9
2,2,staff_ks_001,TUESDAY,PERIOD6,10
2,2,staff_ks_001,TUESDAY,PERIOD7,14
2,2,staff_ks_001,WEDNESDAY,PERIOD1,20
2,2,staff_ks_001,WEDNESDAY,PERIOD2,21
2,2,staff_ks_001,WEDNESDAY,PERIOD3,24
2,2,staff_ks_001,WEDNESDAY,PERIOD4,26
2,2,staff_ks_001,WEDNESDAY,PERIOD5,5
2,2,staff_ks_001,WEDNESDAY,PERIOD6,8
2,2,staff_ks_001,WEDNESDAY,PERIOD7,9
2,2,staff_ks_001,THURSDAY,PERIOD1,10
2,2,staff_ks_001,THURSDAY,PERIOD2,14
2,2,staff_ks_001,THURSDAY,PERIOD3,20
2,2,staff_ks_001,THURSDAY,PERIOD4,21
2,2,staff_ks_001,THURSDAY,PERIOD6,24
2,2,staff_ks_001,THURSDAY,PERIOD7,26
2,2,staff_ks_001,THURSDAY,PERIOD8,5
2,2,staff_ks_001,FRIDAY,PERIOD1,8
2,2,staff_ks_001,FRIDAY,PERIOD2,9
2,2,staff_ks_001,FRIDAY,PERIOD3,10
2,2,staff_ks_001,FRIDAY,PERIOD4,14
2,2,staff_ks_001,FRIDAY,PERIOD5,20
